City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Tura,IN,25.5198,90.2201,79.93,87,100,5.48,overcast clouds
150,Aranda De Duero,ES,41.6704,-3.6892,53.58,67,61,7.43,broken clouds
151,Kropotkin,RU,45.4375,40.5756,81.54,51,100,16.46,overcast clouds
152,Elban,RU,50.1018,136.5094,64.22,73,100,15.75,overcast clouds
153,Boguchany,RU,58.3814,97.4531,79.79,34,68,5.82,broken clouds
154,Ibra,OM,22.6906,58.5334,96.84,25,9,1.43,clear sky
155,Cockburn Town,TC,21.4612,-71.1419,82.04,76,7,16.08,clear sky
156,Vetapalem,IN,15.7833,80.3167,92.44,50,84,10.85,broken clouds
157,Maltahohe,NA,-24.8333,16.9833,48.27,26,0,3.51,clear sky
158,Faya,SA,18.3851,42.4509,69.91,40,98,8.05,overcast clouds
159,Cayenne,GF,4.9333,-52.3333,77.09,90,0,3.44,clear sky
160,Wadi Musa,JO,30.3222,35.4793,79.0,25,0,5.01,clear sky
161,Snezhnogorsk,RU,69.1933,33.2531,55.18,69,10,8.23,clear sky
162,Korla,CN,41.7597,86.1469,90.14,21,2,7.07,clear sky
163,Blackwater,AU,-23.5833,148.8833,73.2,23,0,3.89,clear sky
164,Padang,ID,-0.9492,100.3543,87.85,70,55,5.66,broken clouds
165,Manokwari,ID,-0.8667,134.0833,81.68,79,78,3.42,broken clouds
166,Warrnambool,AU,-38.3833,142.4833,58.8,71,100,11.59,overcast clouds
167,Yanam,IN,16.7333,82.2167,90.0,45,73,6.24,broken clouds
168,Adrar,MR,20.5022,-10.0711,87.78,39,7,16.55,clear sky
169,Tuatapere,NZ,-46.1333,167.6833,43.83,78,83,10.54,light rain
170,Ndago,TZ,-4.6,34.35,62.73,63,34,9.46,scattered clouds
171,Portland,US,45.5234,-122.6762,71.85,79,20,1.99,few clouds
172,Hatillo,PR,18.4863,-66.8254,80.06,90,18,13.27,few clouds
173,Hobart,AU,-42.8794,147.3294,50.25,63,40,1.01,scattered clouds
174,Puerto Leguizamo,CO,-0.1934,-74.7819,69.35,92,3,0.74,clear sky
175,Havoysund,NO,70.9963,24.6622,61.68,76,99,2.68,overcast clouds
176,Torbay,CA,47.6666,-52.7314,69.67,93,90,13.8,overcast clouds
177,Proletarsk,RU,46.7031,41.7192,82.04,29,100,19.77,overcast clouds
178,Nola,IT,40.922,14.5329,76.55,77,13,0.89,few clouds
179,Ancud,CL,-41.8697,-73.8203,42.22,84,42,8.61,light rain
180,Dicabisagan,PH,17.0818,122.4157,94.14,55,73,11.32,broken clouds
181,Severo-Kurilsk,RU,50.6789,156.125,54.84,79,100,6.17,overcast clouds
