City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
178,Nola,IT,76.55,few clouds,40.922,14.5329,Pamaran Hotel
182,Tezu,IN,85.01,overcast clouds,27.9167,96.1667,Circuit House
185,Saint George,US,89.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
188,Porto Novo,BJ,76.82,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
190,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
192,Kromy,RU,69.82,broken clouds,52.6876,35.7667,Strawberry Duck Hostel
193,Isetskoye,RU,66.76,overcast clouds,56.4858,65.3226,"Belyye Rosy, Gostinitsa"
202,Carepa,CO,73.8,overcast clouds,7.7585,-76.6525,HOTEL EL EDÉN
203,Naze,JP,76.12,light rain,28.3667,129.4833,Amami Port Tower Hotel
204,Carnarvon,AU,78.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
207,Soyo,AO,71.65,broken clouds,-6.1349,12.3689,Hotel Mpampa
208,Cabo San Lucas,MX,82.62,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
209,Les Cayes,HT,77.61,clear sky,18.2,-73.75,Villa Orphee
210,Omsk,RU,75.09,clear sky,55.0,73.4,Tourist Hotel
211,Jiaojiang,CN,85.33,light rain,28.6803,121.4428,Jiaojiang Hotel
212,Lixourion,GR,78.8,clear sky,38.2019,20.4314,Hotel Summery
214,Khani,GE,81.97,scattered clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
215,Poros,GR,84.72,clear sky,37.4994,23.4536,New Aegli Resort Hotel 4 stars
216,San Quintin,MX,67.86,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
218,Kismayo,SO,77.34,broken clouds,-0.3582,42.5454,Agan-Hotel
220,Ahar,IR,78.46,scattered clouds,38.4774,47.0699,هتل رضوی
225,Mindelo,CV,76.55,scattered clouds,16.8901,-24.9804,Hotel Gaudi
227,Buchanan,LR,71.56,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
230,San Jose,US,72.7,smoke,37.3394,-121.895,The Westin San Jose
232,Kagadi,UG,66.04,scattered clouds,0.9606,30.7967,ADNEC MOTEL
233,Batemans Bay,AU,67.19,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
234,Broome,US,73.0,overcast clouds,42.2506,-75.833,Chenango Valley State Park
236,Jaque,PA,77.7,light rain,7.5175,-78.1703,Imbu Bua Lodge
237,Xining,CN,75.24,broken clouds,36.6167,101.7667,Super Leisure Hotel
